date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance,kalshi_mean_c,kalshi_median_c,kalshi_mode_c,kalshi_variance_c,kalshi_skew_c,kalshi_kurt_c
2022-06-24,FED-22DEC,2022-12-14,3.318877551020408,3.25,3.25,0.1597633136094661,1.630148565282508,0.3262507809246148,-0.10969387755102034,-0.25,-0.5,0.020128331945022948,0.3439738399252549,-1.5268192159674898
2022-06-25,FED-22DEC,2022-12-14,3.3137755102040813,3.25,3.25,0.1572327044025161,1.9869279950619996,0.31162145980841316,-0.005102040816326703,0,0,-0.014629321116201632,-0.002530609206950002,0.3567794297794915
2022-06-26,FED-22DEC,2022-12-14,3.3137755102040813,3.25,3.25,0.1572327044025161,1.9869279950619996,0.31162145980841316,0,0,0,0,0,0
2022-06-27,FED-22DEC,2022-12-14,3.346938775510204,3.5,3.5,-0.35294117647058887,1.636746063516206,0.3400926697209496,0.03316326530612246,0.25,0.25,0.028471209912536433,-0.510173880873105,-0.35018193154579347
2022-06-28,FED-22DEC,2022-12-14,3.3418367346938775,3.5,3.5,-0.3924050632911381,2.044414533866478,0.31937213660974595,-0.005102040816326259,0,0,-0.020720533111203643,-0.03946388682054924,0.40766847035027176
2022-06-29,FED-22DEC,2022-12-14,3.318877551020408,3.5,3.5,-0.43558282208589094,2.8852287330319486,0.3619650666389005,-0.022959183673469497,0,0,0.04259293002915454,-0.04317775879475283,0.8408141991654707
2022-06-30,FED-22DEC,2022-12-14,3.311224489795919,3.25,3.5,0.1518987341772148,2.308343408510698,0.2921699291961683,-0.007653061224488944,-0.25,0,-0.06979513744273219,0.5874815562631057,-0.5768853245212506
2022-07-01,FED-22DEC,2022-12-14,3.252551020408164,3.25,3.25,0.0070921985815599,2.55036029397417,0.26976390045814247,-0.058673469387755084,0,-0.25,-0.02240602873802583,-0.1448065355956549,0.2420168854634719
2022-07-02,FED-22DEC,2022-12-14,3.168367346938776,3.25,3.25,-0.2424242424242413,3.156046000014613,0.28032590587255307,-0.08418367346938815,0,0,0.010562005414410602,-0.2495164410058012,0.6056857060404433
2022-07-03,FED-22DEC,2022-12-14,3.1632653061224483,3.25,3.25,-0.23943661971831065,2.509405662626154,0.29859954185755927,-0.005102040816327591,0,0,0.018273635985006198,0.0029876227059306426,-0.646640337388459
2022-07-04,FED-22DEC,2022-12-14,3.168367346938776,3.25,3.25,-0.21333333333333243,2.0171018586317127,0.3262442732194919,0.005102040816327591,0,0,0.02764473136193263,0.02610328638497822,-0.4923038039944414
2022-07-05,FED-22DEC,2022-12-14,3.1632653061224483,3.25,3.25,-0.25757575757575707,1.7121169373349288,0.2641607663473553,-0.005102040816327591,0,0,-0.062083506872136596,-0.04424242424242464,-0.3049849212967839
2022-07-06,FED-22DEC,2022-12-14,3.1632653061224487,3.25,3.25,-0.2615384615384624,0.3980743141405245,0.23482403165347765,4.440892098500626e-16,0,0,-0.029336734693877653,-0.003962703962705316,-1.3140426231944042
2022-07-07,FED-22DEC,2022-12-14,3.1326530612244903,3.25,3.25,-0.3650793650793622,-0.04656251736102534,0.200515410245731,-0.03061224489795844,0,0,-0.03430862140774665,-0.10354090354089979,-0.44463683150154987
2022-07-08,FED-22DEC,2022-12-14,3.2270408163265305,3.25,3.25,-0.07317073170731601,0.47167699963498144,0.19526369221157852,0.09438775510204023,0,0,-0.005251718034152475,0.29190863337204614,0.5182395169960068
2022-07-09,FED-22DEC,2022-12-14,3.232142857142857,3.25,3.25,-0.05426356589147133,0.37385985868800065,0.1992984693877551,0.005102040816326703,0,0,0.0040347771761765905,0.018907165815844687,-0.0978171409469808
2022-07-10,FED-22DEC,2022-12-14,3.247448979591837,3.25,3.25,-0.00699300699300661,0.15433667296786346,0.2519067576009996,0.015306122448979664,0,0,0.05260828821324451,0.047270558898464717,-0.21952318572013718
2022-07-11,FED-22DEC,2022-12-14,3.270408163265307,3.25,3.25,0.05714285714285783,0.26724420997436704,0.2457569762598917,0.02295918367346994,0,0,-0.006149781341107913,0.06413586413586443,0.11290753700650358
2022-07-12,FED-22DEC,2022-12-14,3.219387755102041,3.25,3.25,-0.08219178082191819,2.378115007879753,0.3268690129112869,-0.051020408163265696,0,0,0.08111203665139519,-0.13933463796477602,2.110870797905386
2022-07-13,FED-22DEC,2022-12-14,3.459183673469388,3.5,3.5,-0.11428571428571314,1.8793252666424989,0.25088504789670973,0.23979591836734704,0.25,0.25,-0.07598396501457716,-0.03209393346379495,-0.49878974123725417
