contract_preamble,datetime_6h_utc,datetime_6h_et,expiry_datetime,date,strike,yes_price,interval_volume,adjusted_yes_price,probability,swapped
CPICOREYOY-23SEP,2023-10-12T06:00:00Z,2023-10-12 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-12,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-10-12T12:00:00Z,2023-10-12 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-12,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-15T12:00:00Z,2023-09-15 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-15,2.5,95,3220,96,0,FALSE
CPICOREYOY-23SEP,2023-09-15T18:00:00Z,2023-09-15 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-15,2.5,95,2664,96,0,FALSE
CPICOREYOY-23SEP,2023-09-16T00:00:00Z,2023-09-15 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.5,95,1000,97,0,FALSE
CPICOREYOY-23SEP,2023-09-16T06:00:00Z,2023-09-16 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.5,95,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-16T12:00:00Z,2023-09-16 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.5,95,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-16T18:00:00Z,2023-09-16 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.5,97,781,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T00:00:00Z,2023-09-16 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.5,97,1000,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T06:00:00Z,2023-09-17 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.5,97,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T12:00:00Z,2023-09-17 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.5,97,10090,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T18:00:00Z,2023-09-17 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.5,97,400,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T00:00:00Z,2023-09-17 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.5,97,200,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T06:00:00Z,2023-09-18 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.5,97,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T12:00:00Z,2023-09-18 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.5,96,14408,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T18:00:00Z,2023-09-18 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.5,95,715,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T00:00:00Z,2023-09-18 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.5,92,1949,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T06:00:00Z,2023-09-19 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.5,92,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T12:00:00Z,2023-09-19 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.5,92,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T18:00:00Z,2023-09-19 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.5,96,5621,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T00:00:00Z,2023-09-19 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.5,96,25,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T06:00:00Z,2023-09-20 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.5,96,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T12:00:00Z,2023-09-20 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.5,95,1250,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T18:00:00Z,2023-09-20 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.5,93,900,97,0,FALSE
CPICOREYOY-23SEP,2023-09-21T00:00:00Z,2023-09-20 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.5,94,1000,99,0,FALSE
CPICOREYOY-23SEP,2023-09-21T06:00:00Z,2023-09-21 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.5,94,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-21T12:00:00Z,2023-09-21 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.5,96,5184,99,0,FALSE
CPICOREYOY-23SEP,2023-09-21T18:00:00Z,2023-09-21 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.5,96,60,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T00:00:00Z,2023-09-21 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T06:00:00Z,2023-09-22 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T12:00:00Z,2023-09-22 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.5,96,273,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T18:00:00Z,2023-09-22 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.5,96,535,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T00:00:00Z,2023-09-22 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T06:00:00Z,2023-09-23 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T12:00:00Z,2023-09-23 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T18:00:00Z,2023-09-23 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T00:00:00Z,2023-09-23 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T06:00:00Z,2023-09-24 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T12:00:00Z,2023-09-24 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.5,96,0,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T18:00:00Z,2023-09-24 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.5,94,250,99,0,FALSE
CPICOREYOY-23SEP,2023-09-25T00:00:00Z,2023-09-24 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.5,94,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-25T06:00:00Z,2023-09-25 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.5,94,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-25T12:00:00Z,2023-09-25 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.5,96,685,97,0,FALSE
CPICOREYOY-23SEP,2023-09-25T18:00:00Z,2023-09-25 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-25,2.5,95,3000,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T00:00:00Z,2023-09-25 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.5,95,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T06:00:00Z,2023-09-26 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.5,95,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T12:00:00Z,2023-09-26 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.5,95,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-26T18:00:00Z,2023-09-26 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-26,2.5,96,3125,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T00:00:00Z,2023-09-26 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.5,96,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T06:00:00Z,2023-09-27 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.5,96,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T12:00:00Z,2023-09-27 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.5,96,0,97,0,FALSE
CPICOREYOY-23SEP,2023-09-27T18:00:00Z,2023-09-27 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-27,2.5,96,5655,97,0,FALSE
